punto;norte;este;altitud;prof;ca
L-X,6,BAT-BA35-7;9529801.995;480892.641;280;0.1;0006-5-2025-102
L-X,6,BAT-BA35-8;9529798.262;480892.663;280;0.1;0006-5-2025-102
L-X,6,BAT-BA35-9R;9529809.486;480890.792;280;0.1;0006-5-2025-102
L-X,6,PZEA9219-1;9528365.266;479697.211;296;0.2;0006-5-2025-102
L-X,6,PZEA9219-2;9528367.078;479699.074;296;0.2;0006-5-2025-102
L-X,6,PZEA9219-3;9528367.048;479700.684;296;0.2;0006-5-2025-102
L-X,6,PZEA9219-4;9528368.944;479699.094;296;0.2;0006-5-2025-102
L-X,6,PZEA939-1RS;9528627.123;479360.454;303;0.4;0006-5-2025-102
L-X,6,PZEA939-2RS;9528634.607;479362.325;303;0.4;0006-5-2025-102
L-X,6,PZEA939-3R;9528630.985;479360.611;303;0.4;0006-5-2025-102
L-X,6,PZEA939-4;9528623.381;479354.841;303;0.4;0006-5-2025-102
L-X,6,PZEA939-5R;9528642.085;479388.52;303;0.1;0006-5-2025-102
L-X,6,PZEA939-6R;9528640.216;479386.648;303;0.1;0006-5-2025-102
L-X,6,PZEA939-7R;9528638.375;479386.555;303;0.1;0006-5-2025-102
L-X,6,PZEA939-8;9528634.617;479386.635;303;0.1;0006-5-2025-102
L-X,6,PZEA2382-1R;9529268.817;480207.939;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-2;9529272.559;480204.198;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-3;9529272.528;480206.044;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-4R;9529266.946;480207.939;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-5;9529266.946;480209.81;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-6R;9529276.301;480215.423;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-7;9529272.559;480213.552;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-8;9529274.43;480213.552;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-9;9529276.301;480213.552;298;0.15;0006-5-2025-102
L-X,6,PZEA2382-10R;9529268.817;480222.906;298;0.2;0006-5-2025-102
L-X,6,PZEA2382-11R;9529266.995;480224.722;298;0.2;0006-5-2025-102
L-X,6,PZEA2382-12;9529268.817;480219.164;298;0.2;0006-5-2025-102
L-X,6,PZEA2382-13;9529266.946;480221.035;298;0.2;0006-5-2025-102
L-X,6,PZEA9476-1;9532148.014;486555.755;300;0.2;0005-5-2025-102
L-X,6,PZEA9476-2;9532149.843;486556.032;300;0.2;0005-5-2025-103
L-X,6,PZEA9476-3;9532151.812;486557.476;300;0.2;0005-5-2025-104
L-X,6,PZEA9476-4;9532153.446;486557.443;300;0.2;0005-5-2025-105
L-X,6,PZEA9421-1;9532080.673;486602.433;307;0.3;0005-5-2025-106
L-X,6,PZEA9421-2;9532078.809;486602.442;307;0.3;0005-5-2025-107
L-X,6,PZEA9421-4;9532082.544;486602.433;307;0.3;0005-5-2025-108
L-X,6,PZEA9421-5;9532076.932;486628.624;307;0.1;0005-5-2025-109
L-X,6,PZEA9421-6;9532078.68;486628.685;307;0.1;0005-5-2025-110
L-X,6,PZEA9421-7;9532076.932;486630.495;307;0.1;0005-5-2025-111
L-X,6,PZEA9421-8;9532077.096;486632.249;307;0.1;0005-5-2025-112
L-X,6,PZEA7096-1;9532338.802;486894.332;304;0.3;0005-5-2025-113
L-X,6,PZEA7096-2;9532337.086;486894.398;304;0.3;0005-5-2025-114
L-X,6,PZEA7096-3;9532336.977;486896.153;304;0.3;0005-5-2025-115
L-X,6,PZEA7096-4;9532335.188;486896.238;304;0.3;0005-5-2025-116
L-X,6,PZEA7096-5;9532327.623;486903.636;304;0.2;0005-5-2025-117
L-X,6,PZEA7096-6;9532329.494;486911.12;304;0.2;0005-5-2025-118
L-X,6,PZEA7096-7;9532329.433;486912.754;304;0.2;0005-5-2025-119
L-X,6,PZEA7096-8;9532323.854;486916.704;304;0.2;0005-5-2025-120
L-X,6,PZEA7096-9;9532321.932;486918.516;304;0.2;0005-5-2025-121
L-X,6,PZEA7096-10;9532320.096;486941.098;304;0.2;0005-5-2025-122
L-X,6,PZEA7096-11;9532322.065;486944.734;304;0.2;0005-5-2025-123
L-X,6,PZEA7096-12;9532323.564;486944.834;304;0.2;0005-5-2025-124
L-X,6,PZEA1225-2;9532052.589;486819.429;310;0.2;0005-5-2025-125
L-X,6,PZEA1225-4;9532050.74;486821.32;310;0.2;0005-5-2025-126
L-X,6,PZEA1225-5;9532033.903;486817.578;310;0.2;0005-5-2025-127
L-X,6,PZEA1225-6;9532033.903;486819.449;310;0.2;0005-5-2025-128
L-X,6,PZEA1225-7;9532033.903;486821.32;310;0.2;0005-5-2025-129
L-X,6,PZEA1225-8;9532035.773;486821.32;310;0.2;0005-5-2025-130
L-X,6,PZEA1225-9;9532035.773;486817.578;310;0.2;0005-5-2025-131
L-X,6,PZEA1225-10;9532034.042;486834.239;310;0.2;0005-5-2025-132
L-X,6,PZEA1225-11;9532035.773;486834.416;310;0.2;0005-5-2025-133
L-X,6,PZEA1225-12;9532037.493;486834.52;310;0.2;0005-5-2025-134
L-X,6,PZEA1225-13;9532037.603;486836.296;310;0.2;0005-5-2025-135
L-X,6,PZEA1263-1;9532567.089;486673.524;305;0.25;0005-5-2025-136
L-X,6,PZEA1263-2;9532568.576;486673.6;305;0.25;0005-5-2025-137
L-X,6,PZEA1263-3;9532565.258;486673.556;305;0.25;0005-5-2025-138
L-X,6,PZEA1263-4;9532565.218;486677.266;305;0.25;0005-5-2025-139
L-X,6,PZEA1961-1;9532546.402;486544.68;305;0.2;0005-5-2025-140
L-X,6,PZEA1961-2;9532550.141;486546.476;305;0.2;0005-5-2025-141
L-X,6,PZEA1961-3;9532550.37;486547.809;305;0.2;0005-5-2025-142
L-X,6,PZEA1961-4;9532552.107;486548.19;305;0.2;0005-5-2025-143
L-X,6,PZEA9437-1;9532697.972;486473.419;305;0.3;0005-5-2025-144
L-X,6,PZEA9437-2;9532698.114;486475.166;305;0.3;0005-5-2025-145
L-X,6,PZEA9437-3;9532699.943;486478.924;305;0.3;0005-5-2025-146
L-X,6,PZEA9437-4;9532703.673;486486.446;305;0.3;0005-5-2025-147
L-X,6,PZEA9437-5;9532585.765;486480.929;305;0.4;0005-5-2025-148
L-X,6,PZEA9437-6;9532585.797;486482.7;305;0.4;0005-5-2025-149
L-X,6,PZEA9437-7;9532585.624;486484.419;305;0.4;0005-5-2025-150
L-X,6,PZEA9437-8;9532583.996;486482.707;305;0.4;0005-5-2025-151
L-X,6,PZEA1792-1;9532615.73;486276.909;298;0.1;0005-5-2025-152
L-X,6,PZEA1792-2;9532619.265;486278.763;298;0.1;0005-5-2025-153
L-X,6,PZEA1792-3;9532621.354;486280.675;298;0.1;0005-5-2025-154
L-X,6,PZEA1792-4;9532619.472;486282.521;298;0.1;0005-5-2025-155
L-X,6,PZEA1792-5;9532649.319;486291.944;298;0.15;0005-5-2025-156
L-X,6,PZEA1792-6;9532651.244;486293.781;298;0.15;0005-5-2025-157
L-X,6,PZEA1792-7;9532651.276;486295.617;298;0.15;0005-5-2025-158
L-X,6,PZEA1792-8;9532653.145;486295.619;298;0.15;0005-5-2025-159
L-X,6,PZEA1929-1;9531921.294;486482.693;310;0.2;0005-5-2025-160
L-X,6,PZEA1929-2;9531919.835;486482.741;310;0.2;0005-5-2025-161
L-X,6,PZEA1929-3;9531917.952;486484.609;310;0.2;0005-5-2025-162
L-X,6,PZEA9447-1;9531786.921;486355.669;302;0.15;0005-5-2025-163
L-X,6,PZEA9447-2;9531787.051;486357.216;302;0.15;0005-5-2025-164
L-X,6,PZEA9447-3;9531788.785;486357.33;302;0.15;0005-5-2025-165
L-X,6,PZEA9602-1;9532273.655;486132.844;303;0.4;0005-5-2025-166
L-X,6,PZEA9602-2;9532275.239;486134.726;303;0.4;0005-5-2025-167
L-X,6,PZEA9602-3;9532282.568;486136.454;303;0.4;0005-5-2025-168
L-X,6,PZEA9602-4;9532282.587;486138.658;303;0.4;0005-5-2025-169
L-X,6,PZEA9602-5;9532280.93;486140.254;303;0.4;0005-5-2025-170
L-X,6,PZEA9602-6;9532280.935;486142.275;303;0.4;0005-5-2025-171
L-X,6,PZEA9602-7;9532254.641;486179.645;303;0.25;0005-5-2025-172
L-X,6,PZEA9602-8;9532254.66;486183.367;303;0.25;0005-5-2025-173
L-X,6,PZEA9602-9;9532254.636;486185.066;303;0.25;0005-5-2025-174
L-X,6,PZEA9602-10;9532256.531;486183.367;303;0.25;0005-5-2025-175
L-X,6,PZEA9602-11;9532260.273;486181.496;303;0.25;0005-5-2025-176
L-X,6,PZEA1759-1;9531897.209;486162.674;307;0.2;0005-5-2025-177
L-X,6,PZEA1759-2;9531899.224;486164.755;307;0.2;0005-5-2025-178
L-X,6,PZEA1759-3;9531899.24;486166.22;307;0.2;0005-5-2025-179
L-X,6,PZEA1759-4;9531901.078;486162.788;307;0.2;0005-5-2025-180
L-X,6,PZEA1759-5;9531902.945;486164.659;307;0.2;0005-5-2025-181
L-X,6,PZEA1759-6;9531916.04;486183.367;307;0.1;0005-5-2025-182
L-X,6,PZEA1759-8;9531919.567;486185.238;307;0.1;0005-5-2025-183
L-X,6,PZEA1759-9;9531917.842;486186.781;307;0.1;0005-5-2025-184
L-X,6,PZEA1759-10;9531914.169;486185.238;307;0.1;0005-5-2025-185
L-X,6,PZEA9479-1;9532436.158;486235.772;305;0.4;0005-5-2025-186
L-X,6,PZEA9479-2;9532438.002;486236.218;305;0.4;0005-5-2025-187
L-X,6,PZEA9479-3;9532437.94;486237.515;305;0.4;0005-5-2025-188
L-X,6,PZEA9479-4;9532434.508;486237.624;305;0.4;0005-5-2025-189
L-X,6,PZEA1311-1;9532484.739;486059.862;309;0.15;0005-5-2025-190
L-X,6,PZEA1311-2;9532482.974;486061.755;309;0.15;0005-5-2025-191
L-X,6,PZEA1311-3;9532483.062;486063.544;309;0.15;0005-5-2025-192
L-X,6,PZEA1311-4;9532484.728;486063.638;309;0.15;0005-5-2025-193
L-X,6,PZEA9436-1;9532267.64;485912.319;309;0.1;0005-5-2025-194
L-X,6,PZEA9436-2;9532269.569;485914.032;309;0.1;0005-5-2025-195
L-X,6,PZEA9436-3;9532271.493;485915.844;309;0.1;0005-5-2025-196
L-X,6,PZEA9436-4;9532273.369;485917.709;309;0.1;0005-5-2025-197
L-X,6,PZEA9406-1;9532045.128;486413.479;303;0.25;0005-5-2025-198
L-X,6,PZEA9406-2;9532043.341;486413.623;303;0.25;0005-5-2025-199
L-X,6,PZEA9406-3;9532043.244;486417.208;303;0.25;0005-5-2025-200
L-X,6,PZEA9406-4;9532046.998;486413.479;303;0.25;0005-5-2025-201
L-X,6,PZEA9406-5;9532015.091;486415.587;303;0.15;0005-5-2025-202
L-X,6,PZEA9406-6;9532015.194;486417.221;303;0.15;0005-5-2025-203
L-X,6,PZEA9406-7;9532017.065;486417.221;303;0.15;0005-5-2025-204
L-X,6,PZEA9406-8;9532022.677;486417.221;303;0.15;0005-5-2025-205
L-X,6,BAT-LA06-1;9532177.95;486438.11;303;0.1;0005-5-2025-206
L-X,6,BAT-LA06-2R;9532191.053;486435.93;303;0.2;0005-5-2025-207
L-X,6,BAT-LA06-3;9532181.339;486441.542;303;0.1;0005-5-2025-208
L-X,6,BAT-LA06-4;9532181.616;486443.135;303;0.1;0005-5-2025-209
L-X,6,BAT-LA06-5R;9532187.347;486435.991;303;0.2;0005-5-2025-210
L-X,6,BAT-LA06-6;9532112.477;486443.412;303;0.1;0005-5-2025-211
L-X,6,BAT-LA06-7;9532114.348;486443.412;303;0.1;0005-5-2025-212
L-X,6,BAT-LA06-8;9532114.348;486445.283;303;0.1;0005-5-2025-213
L-X,6,BAT-LA06-9;9532112.477;486445.283;303;0.1;0005-5-2025-214
L-X,6,BAT-LA06-10;9532116.219;486445.283;303;0.1;0005-5-2025-215
L-X,6,BAT-LA06-11;9532114.348;486449.025;303;0.1;0005-5-2025-216
L-X,6,BAT-LA06-12;9532105.08;486445.348;303;0.1;0005-5-2025-217
L-X,6,BAT-LA06-13;9532062.153;486480.799;303;0.2;0005-5-2025-218
L-X,6,BAT-LA06-14;9532062.073;486484.606;303;0.2;0005-5-2025-219
L-X,6,BAT-LA06-15;9532061.868;486488.27;303;0.2;0005-5-2025-220
L-X,6,BAT-LA06-16;9532060.115;486490.202;303;0.2;0005-5-2025-221
L-X,6,BAT-LA06-17;9532059.902;486501.439;303;0.1;0005-5-2025-222
L-X,6,BAT-LA06-18;9532058.306;486501.492;303;0.1;0005-5-2025-223
L-X,6,BAT-LA06-19;9532058.2;486503.262;303;0.1;0005-5-2025-224
L-X,6,BAT-LA06-20;9532058.123;486505.169;303;0.1;0005-5-2025-225
L-X,6,BAT-LA06-21;9532009.618;486524.137;303;0.4;0005-5-2025-226
L-X,6,BAT-LA06-22;9532009.582;486527.6;303;0.4;0005-5-2025-227
L-X,6,BAT-LA06-23;9532009.473;486529.248;303;0.4;0005-5-2025-228
L-X,6,BAT-LA06-24;9532007.711;486529.47;303;0.4;0005-5-2025-229
L-X,6,BAT-LA06-25;9532005.84;486527.6;303;0.4;0005-5-2025-230
L-X,6,BAT-LA06-26R;9532041.386;486606.175;303;0.4;0005-5-2025-231
L-X,6,BAT-LA06-27R;9532045.128;486611.788;303;0.4;0005-5-2025-232
L-X,6,BAT-LA06-28R;9532052.611;486628.625;303;0.4;0005-5-2025-233
L-X,6,BAT-LA06-29R;9532048.87;486621.142;303;0.4;0005-5-2025-234
L-X,6,BAT-LA06-30;9531949.715;486634.237;303;0.2;0005-5-2025-235
L-X,6,BAT-LA06-31R;9531947.922;486634.358;303;0.2;0005-5-2025-236
L-X,6,BAT-LA06-32;9531947.762;486635.747;303;0.2;0005-5-2025-237
L-X,6,BAT-LA06-33;9531951.586;486634.237;303;0.2;0005-5-2025-238
L-X,6,BAT-LA06-34;9532054.482;486643.591;303;0.2;0005-5-2025-239
L-X,6,BAT-LA06-35;9532056.462;486649.121;303;0.2;0005-5-2025-240
L-X,6,BAT-LA06-36;9532060.206;486647.356;303;0.2;0005-5-2025-241
L-X,6,BAT-LA06-37;9532061.965;486647.333;303;0.2;0005-5-2025-242
L-X,6,BAT-LA06-38;9532061.877;486648.908;303;0.2;0005-5-2025-243
L-X,6,BAT-LA06-39;9532059.899;486652.976;303;0.2;0005-5-2025-244
L-X,6,BAT-LA06-40R;9532061.975;486656.678;303;0.2;0005-5-2025-245
L-X,6,BAT-LA06-41;9531955.388;486667.858;303;0.3;0005-5-2025-246
L-X,6,BAT-LA06-42;9531957.198;486667.912;303;0.3;0005-5-2025-247
L-X,6,BAT-LA06-43;9531959.02;486667.921;303;0.3;0005-5-2025-248
L-X,6,BAT-LA06-44;9531955.669;486669.783;303;0.3;0005-5-2025-249
L-X,6,BAT-LA06-45;9531999.987;486695.956;303;0.25;0005-5-2025-250
L-X,6,BAT-LA06-46;9531998.357;486695.974;303;0.25;0005-5-2025-251
L-X,6,BAT-LA06-47;9531998.304;486697.521;303;0.25;0005-5-2025-252
L-X,6,BAT-LA06-48;9531996.752;486696.075;303;0.25;0005-5-2025-253
L-X,6,BAT-LA06-49;9532084.314;486701.662;303;0.15;0005-5-2025-254
L-X,6,BAT-LA06-50;9532084.463;486703.446;303;0.15;0005-5-2025-255
L-X,6,BAT-LA06-51;9532086.416;486705.212;303;0.15;0005-5-2025-256
L-X,6,BAT-LA06-52;9532183.534;486437.833;303;0.2;0005-5-2025-257
L-X,6,BAT-LA06-53;9532136.199;486443.413;303;0.2;0005-5-2025-258
L-X,6,BAT-LA06-54;9532121.832;486430.317;303;0.2;0005-5-2025-259
L-X,6,BAT-LA06-55;9532118.671;486439.671;303;0.2;0005-5-2025-260
L-X,6,MNF-MC02-LA06-1;9531807.532;486398.512;303;0.4;0005-5-2025-261
L-X,6,MNF-MC02-LA06-2;9531809.403;486398.512;303;0.4;0005-5-2025-262
L-X,6,MNF-MC02-LA06-3;9531811.127;486398.665;303;0.2;0005-5-2025-263
L-X,6,MNF-MC02-LA06-4;9531811.274;486400.383;303;0.2;0005-5-2025-264
L-X,6,MNF-MC02-LA06-5;9531813.145;486402.254;303;0.2;0005-5-2025-265
L-X,6,MNF-MC02-LA06-6;9531815.016;486402.254;303;0.2;0005-5-2025-266
L-X,6,MNF-MC02-LA06-7;9531816.886;486407.867;303;0.2;0005-5-2025-267
L-X,6,MNF-MC02-LA06-8;9531820.797;486413.322;303;0.2;0005-5-2025-268
L-X,6,MNF-MC02-LA06-9;9531820.628;486417.221;303;0.2;0005-5-2025-269
L-X,6,MNF-MC02-LA06-10;9531818.809;486417.277;303;0.2;0005-5-2025-270
L-X,6,MNF-MC02-LA06-11;9531820.628;486419.092;303;0.2;0005-5-2025-271
L-X,6,MNF-MC02-LA06-12;9531822.499;486417.221;303;0.2;0005-5-2025-272
L-X,6,MNF-MC02-LA06-13;9531826.223;486419.11;303;0.2;0005-5-2025-273
L-X,6,MNF-MC02-LA06-14;9531826.241;486422.833;303;0.2;0005-5-2025-274
L-X,6,MNF-MC02-LA06-15;9531831.981;486428.243;303;0.2;0005-5-2025-275
L-X,6,MNF-MC02-LA06-16;9531833.724;486428.446;303;0.2;0005-5-2025-276
L-X,6,MNF-MC02-LA06-17;9531835.614;486430.297;303;0.2;0005-5-2025-277
L-X,6,MNF-MC02-LA06-18;9531839.176;486432.366;303;0.2;0005-5-2025-278
L-X,6,MNF-MC02-LA06-19R;9531835.595;486424.705;303;0.2;0005-5-2025-279
L-X,6,MNF-MC02-LA06-20R;9531807.567;486396.695;303;0.4;0005-5-2025-280
L-X,6,MNF-MC02-LA06-21;9531807.532;486400.383;303;0.4;0005-5-2025-281
L-X,6,MNF-MC02-LA06-22;9531773.899;486462.161;303;0.4;0005-5-2025-282
L-X,6,MNF-MC02-LA06-23;9531773.857;486467.733;303;0.4;0005-5-2025-283
L-X,6,MNF-MC02-LA06-24;9531775.728;486467.733;303;0.4;0005-5-2025-284
L-X,6,MNF-MC02-LA06-25;9531777.599;486469.604;303;0.4;0005-5-2025-285
L-X,6,MNF-MC02-LA06-26;9531777.595;486473.054;303;0.4;0005-5-2025-286
L-X,6,MNF-MC02-LA06-27R;9531781.567;486462.498;303;0.15;0005-5-2025-287
L-X,6,MNF-MC02-LA06-28;9531781.349;486463.942;303;0.2;0005-5-2025-288
L-X,6,MNF-MC02-LA06-29R;9531779.804;486464.292;303;0.2;0005-5-2025-289
L-X,6,MNF-MC02-LA06-30;9531813.145;486484.571;303;0.4;0005-5-2025-290
L-X,6,MNF-MC02-LA06-31;9531811.274;486486.441;303;0.4;0005-5-2025-291
L-X,6,MNF-MC02-LA06-32;9531811.274;486488.312;303;0.4;0005-5-2025-292
L-X,6,MNF-MC02-LA06-33;9531816.886;486488.312;303;0.4;0005-5-2025-293
L-X,6,MNF-MC02-LA06-34;9531816.886;486486.441;303;0.4;0005-5-2025-294
L-X,6,MNF-MC02-LA06-35;9531805.829;486492.108;303;0.4;0005-5-2025-295
L-X,6,PZEA2378E-1;9532161.182;485749.384;300;0.1;0005-5-2025-296
L-X,6,PZEA2378E-2;9532161.119;485751.206;300;0.1;0005-5-2025-297
L-X,6,PZEA2378E-3;9532162.742;485751.157;300;0.1;0005-5-2025-298
L-X,6,PZEA2378E-4;9532159.395;485751.428;300;0.1;0005-5-2025-299
L-X,6,PZEA2378E-5;9532191.016;485749.489;300;0.15;0005-5-2025-300
L-X,6,PZEA2378E-6;9532183.569;485751.206;300;0.15;0005-5-2025-301
L-X,6,PZEA2378E-7;9532183.552;485754.925;300;0.15;0005-5-2025-302
L-X,6,PZEA2378E-8;9532181.698;485754.947;300;0.15;0005-5-2025-303
L-X,6,PZEA2378E-9R;9532168.603;485764.302;300;0.4;0005-5-2025-304
L-X,6,PZEA2378E-10;9532153.701;485762.486;300;0.2;0005-5-2025-305
L-X,6,PZEA2378E-11;9532151.765;485764.301;300;0.2;0005-5-2025-306
L-X,6,PZEA2378E-12;9532151.765;485766.172;300;0.2;0005-5-2025-307
L-X,6,PZEA2378E-13R;9532157.378;485784.881;300;0.4;0005-5-2025-308
L-X,6,PZEA2378E-14;9532157.377;485768.043;300;0.2;0005-5-2025-309
L-X,6,PZEA2378E-15;9532142.411;485783.01;300;0.4;0005-5-2025-310
L-X,6,PZEA2378E-16;9532133.057;485764.302;300;0.4;0005-5-2025-311
L-X,6,PZEA10142-1;9532127.444;485844.747;300;0.2;0005-5-2025-312
L-X,6,PZEA10142-2;9532127.444;485846.117;300;0.2;0005-5-2025-313
L-X,6,PZEA10142-3;9532129.315;485844.747;300;0.2;0005-5-2025-314
L-X,6,PZEA10142-4;9532131.173;485846.621;300;0.2;0005-5-2025-315
L-X,6,PZEA10142-5;9532148.069;485846.669;300;0.4;0005-5-2025-316
L-X,6,PZEA10142-6R;9532151.765;485811.073;300;0.15;0005-5-2025-317
L-X,6,PZEA10142-7;9532149.894;485852.23;300;0.4;0005-5-2025-318
L-X,6,PZEA10142-8;9532150.019;485855.605;300;0.4;0005-5-2025-319
L-X,6,PZEA10142-9;9532146.191;485850.391;300;0.4;0005-5-2025-320
L-X,6,PZEA10142-10;9532155.508;485859.716;300;0.25;0005-5-2025-321
L-X,6,PZEA10142-11;9532155.58;485861.512;300;0.25;0005-5-2025-322
L-X,6,PZEA10142-12;9532157.377;485861.585;300;0.25;0005-5-2025-323
L-X,6,PZEA10142-13;9532159.03;485861.765;300;0.25;0005-5-2025-324
L-X,6,PZEA10142-14;9532146.153;485809.202;300;0.15;0005-5-2025-325
L-X,6,PZEA10142-15;9532140.54;485811.073;300;0.15;0005-5-2025-326
L-X,6,PZEA7119-1;9531740.182;485717.531;303;0.2;0005-5-2025-327
L-X,6,PZEA7119-2;9531742.053;485717.531;303;0.2;0005-5-2025-328
L-X,6,PZEA7119-3;9531742.152;485719.311;303;0.5;0005-5-2025-329
L-X,6,PZEA7119-4;9531743.924;485719.402;303;0.5;0005-5-2025-330
L-X,6,PZEA7119-5;9531743.924;485717.531;303;0.2;0005-5-2025-331
L-X,6,PZEA7119-6;9531743.924;485721.272;303;0.5;0005-5-2025-332
L-X,6,PZEA7119-7R;9531745.795;485721.273;303;0.5;0005-5-2025-333
L-X,6,PZEA7119-8R;9531753.279;485792.364;303;0.2;0005-5-2025-334
L-X,6,PZEA7119-9;9531743.924;485732.497;303;0.2;0005-5-2025-335
L-X,6,PZEA7119-10;9531745.742;485732.575;303;0.2;0005-5-2025-336
L-X,6,PZEA7119-11;9531747.645;485732.766;303;0.2;0005-5-2025-337
L-X,6,PZEA7119-12;9531762.678;485807.425;303;0.2;0005-5-2025-338
L-X,6,PZEA7119-13;9531764.503;485809.201;303;0.2;0005-5-2025-339
L-X,6,PZEA7119-14;9531766.374;485809.201;303;0.2;0005-5-2025-340
L-X,6,PZEA7119-15;9531768.245;485811.072;303;0.2;0005-5-2025-341
L-X,6,PZEA7119-16;9531768.245;485812.943;303;0.2;0005-5-2025-342
L-X,6,PZEA7119-17;9531742.054;485784.881;303;0.4;0005-5-2025-343
L-X,6,PZEA7119-18;9531721.475;485773.656;303;0.4;0005-5-2025-344
L-X,6,PZEA2383-1;9531594.258;486172.142;300;0.25;0005-5-2025-345
L-X,6,PZEA2383-2;9531594.258;486174.013;300;0.25;0005-5-2025-346
L-X,6,PZEA2383-3;9531594.258;486175.884;300;0.25;0005-5-2025-347
L-X,6,PZEA2383-4;9531594.258;486177.755;300;0.25;0005-5-2025-348
L-X,6,PZEA2383-5;9531590.623;486177.519;300;0.3;0005-5-2025-349
L-X,6,PZEA2383-6;9531590.516;486175.884;300;0.3;0005-5-2025-350
L-X,6,PZEA2383-7;9531590.688;486174.089;300;0.3;0005-5-2025-351
L-X,6,PZEA2383-8;9531592.387;486174.013;300;0.25;0005-5-2025-352
L-X,6,PZEA2383-9;9531536.108;486209.836;300;0.2;0005-5-2025-353
L-X,6,PZEA2383-10;9531538.194;486211.329;300;0.2;0005-5-2025-354
L-X,6,PZEA2383-11;9531541.959;486212.926;300;0.2;0005-5-2025-355
L-X,6,PZEA2383-12;9531545.561;486213.425;300;0.2;0005-5-2025-356
L-X,6,PZEA2383-13R;9531596.129;486170.272;300;0.4;0005-5-2025-357
L-X,6,PZEA9113-1;9531741.915;486263.929;303;0.1;0005-5-2025-358
L-X,6,PZEA9113-2;9531742.176;486265.486;303;0.1;0005-5-2025-359
L-X,6,PZEA9113-3;9531743.725;486265.885;303;0.1;0005-5-2025-360
L-X,6,PZEA9113-4;9531704.641;486364.838;303;0.25;0005-5-2025-361
L-X,6,PZEA9113-5;9531704.643;486366.701;303;0.25;0005-5-2025-362
L-X,6,PZEA9113-6;9531706.476;486366.737;303;0.25;0005-5-2025-363
